Date,Open,High,Low,Close,Adj Close,Volume
2018-03-06,920.276672,927.409119,896.601135,902.297119,882.984558,7393101
2018-03-07,900.712158,900.712158,879.711243,881.395264,862.530090,7316409
2018-03-08,889.221069,905.912842,884.911926,902.891479,883.566223,6130548
2018-03-09,906.309082,910.717285,902.495239,904.526001,885.165771,4909678
2018-03-12,911.361206,924.338196,908.934204,921.564514,901.839539,3837440
2018-03-13,923.149475,927.210938,912.698547,923.099915,903.342041,5145137
2018-03-14,920.078552,923.298035,910.568726,920.326233,900.627747,6795338
2018-03-15,916.314270,920.722473,901.455078,903.238220,883.905518,5866510
2018-03-16,900.464478,901.157898,877.729980,891.598511,872.514893,14221100
2018-03-19,892.539612,898.384216,883.624146,887.091248,868.104065,5829127
2018-03-20,884.911926,895.511475,878.720581,881.444763,862.578491,7011559
2018-03-21,886.447388,893.876953,884.911926,888.478088,869.461304,6791028
2018-03-22,887.586548,903.386780,887.338928,899.622498,880.367188,10212863
2018-03-23,882.237244,891.549011,880.751343,885.506287,866.553101,10831400
2018-03-26,885.555786,895.808655,884.119446,892.638672,873.532776,6104583
2018-03-27,898.681396,902.198059,888.577148,891.350891,872.272644,7005357
2018-03-28,887.388428,887.437988,871.736816,874.411438,855.695801,8842618
2018-04-02,884.614746,892.490112,878.175781,884.565186,865.632080,5766209
2018-04-03,882.633545,893.233032,876.937500,891.103210,872.030273,6425059
2018-04-04,896.204895,903.238220,883.673645,886.496887,867.522461,6560005
2018-04-05,896.601135,901.455078,895.016113,899.671997,880.415649,3935631
2018-04-06,899.473877,909.875305,896.502075,902.445740,883.130005,4460344
2018-04-09,903.981140,910.370605,903.981140,907.398743,887.976929,3606112
2018-04-10,909.776245,915.224609,905.566162,908.438904,888.994812,3902042
2018-04-11,913.144287,923.991455,907.448303,922.109314,902.372681,6064484
2018-04-12,921.118713,927.854858,915.521790,919.979492,900.288452,4994624
2018-04-13,923.941956,932.857422,919.979492,930.034180,910.127930,5822658
2018-04-16,925.675537,931.173401,919.781372,928.251099,908.383057,4123166
2018-04-17,931.173401,938.305786,927.210938,935.383484,915.362732,4430313
2018-04-18,936.374084,939.296387,926.269897,929.192200,909.304016,3397094
2018-04-19,930.281860,936.126465,926.220337,933.451782,913.472412,4523892
2018-04-20,929.192200,933.006042,912.549927,919.187012,899.512939,3381269
2018-04-23,921.267334,935.482544,919.781372,927.210938,907.365173,3541772
2018-04-24,927.012817,966.538208,926.220337,960.941223,940.373474,9193591
2018-04-25,964.507446,972.580933,954.502258,961.387024,940.809692,6497632
2018-04-26,963.863525,978.722717,953.214478,966.191467,945.511353,15735759
2018-04-27,980.505798,1001.506714,976.246155,986.944763,965.820374,11776851
2018-04-30,972.779053,983.279480,950.985596,954.254639,933.829956,8955897
2018-05-02,957.919861,970.005310,955.988159,963.566345,942.942383,6175751
2018-05-03,968.717529,968.717529,950.242676,952.570557,932.181946,3984964
2018-05-04,953.808838,955.641479,941.079529,944.992432,924.766052,3831671
2018-05-07,949.846375,964.111206,947.369873,961.882324,941.294434,3545827
2018-05-08,968.321289,972.779053,956.136780,958.018921,937.513672,4980805
2018-05-09,956.830200,975.057434,953.214478,967.528809,946.820007,4537025
2018-05-10,970.797791,975.354614,965.101807,971.937012,951.133911,4052699
2018-05-11,972.036072,981.991699,968.568909,979.960938,958.986084,4049541
2018-05-14,982.635620,982.635620,967.528809,977.335815,956.417114,2604012
